time,seconds,e_to_e,e_to_n,e_to_s,e_to_w,n_to_e,n_to_n,n_to_s,n_to_w,s_to_n,s_to_s,s_to_w,w_to_e,w_to_n,w_to_s,w_to_w
#VALUE!,1800,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
,3600,,,,,,,,,,,,,,,
,5400,,,,,,,,,,,,,,,
,7200,,,,,,,,,,,,,,,
,9000,,,,,,,,,,,,,,,
,10800,,,,,,,,,,,,,,,
,12600,,,,,,,,,,,,,,,
,14400,,,,,,,,,,,,,,,
,16200,,,,,,,,,,,,,,,
,18000,,,,,,,,,,,,,,,
,19800,,,,,,,,,,,,,,,
,21600,,,,,,,,,,,,,,,
,23400,,,,,,,,,,,,,,,
,25200,,,,,,,,,,,,,,,
,27000,,,,,,,,,,,,,,,
,28800,,,,,,,,,,,,,,,
,30600,,,,,,,,,,,,,,,
,32400,,,,,,,,,,,,,,,
,34200,,,,,,,,,,,,,,,
,36000,,,,,,,,,,,,,,,
,37800,,,,,,,,,,,,,,,
,39600,,,,,,,,,,,,,,,
,41400,,,,,,,,,,,,,,,
,43200,,,,,,,,,,,,,,,
